,time,open,high,low,close,volume,date
0,1502942400000.0,4261.48,4349.99,4261.32,4349.99,82.088865,2017-08-17 04:00:00
1,1502956800000.0,4333.32,4485.39,4333.32,4427.3,63.619882,2017-08-17 08:00:00
2,1502971200000.0,4436.06,4485.39,4333.42,4352.34,174.562001,2017-08-17 12:00:00
3,1502985600000.0,4352.33,4354.84,4200.74,4325.23,225.109716,2017-08-17 16:00:00
4,1503000000000.0,4307.56,4369.69,4258.56,4285.08,249.769913,2017-08-17 20:00:00
5,1503014400000.0,4285.08,4340.62,4134.61,4292.39,276.193043,2017-08-18 00:00:00
6,1503028800000.0,4292.39,4340.62,4234.43,4300.25,248.389029,2017-08-18 04:00:00
7,1503043200000.0,4285.0,4371.52,4259.85,4340.31,196.140129,2017-08-18 08:00:00
8,1503057600000.0,4320.52,4340.31,4193.7,4236.89,175.969384,2017-08-18 12:00:00
9,1503072000000.0,4234.54,4297.75,4015.7,4136.28,193.64697,2017-08-18 16:00:00
10,1503086400000.0,4135.0,4136.48,3938.77,4108.37,109.549709,2017-08-18 20:00:00
11,1503100800000.0,4108.37,4184.69,4084.28,4138.55,108.510448,2017-08-19 00:00:00
12,1503115200000.0,4138.5,4156.0,3933.21,4033.47,112.752079,2017-08-19 04:00:00
13,1503129600000.0,4033.47,4082.25,3850.0,3957.6,77.256042,2017-08-19 08:00:00
14,1503144000000.0,3945.12,4100.0,3928.89,3972.05,47.515578,2017-08-19 12:00:00
15,1503158400000.0,4036.19,4103.92,3953.4,4076.12,25.925056,2017-08-19 16:00:00
16,1503172800000.0,4088.71,4149.99,4051.47,4139.98,9.35056,2017-08-19 20:00:00
17,1503187200000.0,4120.98,4139.98,4044.0,4094.62,6.611283,2017-08-20 00:00:00
18,1503201600000.0,4094.62,4156.56,4081.19,4155.87,28.60391,2017-08-20 04:00:00
19,1503216000000.0,4155.87,4211.08,4032.62,4106.53,36.019943,2017-08-20 08:00:00
20,1503230400000.0,4106.53,4125.43,4063.35,4125.0,29.113266,2017-08-20 12:00:00
21,1503244800000.0,4125.0,4185.94,4091.59,4164.6,169.995517,2017-08-20 16:00:00
22,1503259200000.0,4161.59,4171.62,4069.13,4086.29,196.739103,2017-08-20 20:00:00
23,1503273600000.0,4069.13,4119.62,4039.0,4084.76,220.838143,2017-08-21 00:00:00
24,1503288000000.0,4079.26,4104.68,3953.4,4043.63,222.575129,2017-08-21 04:00:00
25,1503302400000.0,4043.63,4088.12,4000.01,4023.11,78.878314,2017-08-21 08:00:00
26,1503316800000.0,4023.11,4023.11,3911.79,4022.0,43.762796,2017-08-21 12:00:00
27,1503331200000.0,4005.99,4042.11,3918.8,4027.05,24.46693,2017-08-21 16:00:00
28,1503345600000.0,4027.05,4070.49,3950.0,4016.0,101.221748,2017-08-21 20:00:00
29,1503360000000.0,4016.0,4016.0,3688.97,3862.39,114.685346,2017-08-22 00:00:00
30,1503374400000.0,3863.0,3868.57,3400.0,3798.08,167.221519,2017-08-22 04:00:00
31,1503388800000.0,3798.08,3920.31,3750.08,3866.48,221.731236,2017-08-22 08:00:00
32,1503403200000.0,3866.48,3990.12,3786.81,3858.23,179.358421,2017-08-22 12:00:00
33,1503417600000.0,3858.23,4104.82,3853.47,3984.24,159.535655,2017-08-22 16:00:00
34,1503432000000.0,3984.5,4061.54,3944.03,4040.0,124.152681,2017-08-22 20:00:00
35,1503446400000.0,4040.0,4127.99,4013.89,4100.41,159.658384,2017-08-23 00:00:00
36,1503460800000.0,4084.54,4115.87,4035.32,4074.88,141.839603,2017-08-23 04:00:00
37,1503475200000.0,4081.63,4242.32,4057.0,4237.99,135.024022,2017-08-23 08:00:00
38,1503489600000.0,4205.98,4265.8,4150.65,4197.05,237.360569,2017-08-23 12:00:00
39,1503504000000.0,4226.94,4259.58,4103.51,4117.07,174.637585,2017-08-23 16:00:00
40,1503518400000.0,4136.48,4178.65,4069.8,4114.01,152.616402,2017-08-23 20:00:00
41,1503532800000.0,4147.0,4204.55,4085.01,4113.58,123.52015,2017-08-24 00:00:00
42,1503547200000.0,4113.58,4177.64,4090.39,4153.32,123.17946,2017-08-24 04:00:00
43,1503561600000.0,4153.8,4250.94,4150.0,4202.0,171.486488,2017-08-24 08:00:00
44,1503576000000.0,4211.78,4250.9,4136.33,4222.0,146.997342,2017-08-24 12:00:00
45,1503590400000.0,4223.06,4250.77,4178.22,4216.07,111.579358,2017-08-24 16:00:00
46,1503604800000.0,4216.1,4371.68,4193.17,4316.01,110.655955,2017-08-24 20:00:00
47,1503619200000.0,4316.01,4370.0,4295.75,4312.69,141.104526,2017-08-25 00:00:00
48,1503633600000.0,4312.69,4362.0,4267.5,4329.0,101.509543,2017-08-25 04:00:00
49,1503648000000.0,4317.81,4361.28,4298.74,4361.27,74.43306,2017-08-25 08:00:00
50,1503662400000.0,4361.27,4422.29,4261.13,4394.36,164.206656,2017-08-25 12:00:00
51,1503676800000.0,4394.36,4453.91,4284.11,4307.17,52.39933,2017-08-25 16:00:00
52,1503691200000.0,4326.0,4365.0,4247.48,4280.68,39.959625,2017-08-25 20:00:00
53,1503705600000.0,4280.71,4315.0,4228.99,4297.94,41.638568,2017-08-26 00:00:00
